,DE_load_actual_entsoe_transparency
1,41151.0
2,40135.0
3,39106.0
4,38765.0
5,38941.0
6,39045.0
7,40206.0
8,41133.0
9,42963.0
10,45088.0
11,47013.0
12,48159.0
13,47164.0
14,46752.0
15,47403.0
16,49440.0
17,53410.0
18,53672.0
19,53012.0
20,50313.0
21,48730.0
22,48624.0
23,45668.0
24,42424.0
25,40577.0
26,39707.0
27,39504.0
28,40391.0
29,42382.0
30,45679.0
31,50418.0
32,54131.0
33,56505.0
34,58447.0
35,59453.0
36,59201.0
37,58564.0
38,57721.0
39,57276.0
40,58813.0
41,61605.0
42,61645.0
43,59283.0
44,55622.0
45,53186.0
46,50691.0
47,45323.0
48,40464.0
49,38338.0
50,36897.0
51,36104.0
52,36453.0
53,36839.0
54,38073.0
55,40819.0
56,44119.0
57,47421.0
58,49756.0
59,51917.0
60,52205.0
61,52147.0
62,50677.0
63,50478.0
64,52820.0
65,55854.0
66,56259.0
67,55017.0
68,50801.0
69,48359.0
70,47968.0
71,45427.0
72,42806.0
73,38517.0
74,37082.0
75,36575.0
76,36793.0
77,36336.0
78,35592.0
79,38255.0
80,41037.0
81,43899.0
82,46915.0
83,50252.0
84,50784.0
85,48824.0
86,47517.0
87,47398.0
88,49465.0
89,53400.0
90,54108.0
91,52621.0
92,50243.0
93,48877.0
94,48808.0
95,46024.0
96,42658.0
97,40699.0
98,39447.0
99,39513.0
100,40440.0
101,43931.0
102,50074.0
103,56244.0
104,59860.0
105,61179.0
106,62104.0
107,63018.0
108,62952.0
109,62108.0
110,61182.0
111,60450.0
112,61342.0
113,65130.0
114,64886.0
115,63242.0
116,59162.0
117,56346.0
118,54730.0
119,50564.0
120,47317.0
121,45011.0
122,44015.0
123,44049.0
124,44730.0
125,46416.0
126,50597.0
127,55697.0
128,57954.0
129,59295.0
130,60723.0
131,61744.0
132,61628.0
133,60697.0
134,59259.0
135,58836.0
136,60089.0
137,63969.0
138,64219.0
139,63346.0
140,59695.0
141,57114.0
142,54886.0
143,50639.0
144,47308.0
145,45125.0
146,44217.0
147,44368.0
148,45298.0
149,48598.0
150,56626.0
151,63293.0
152,65964.0
153,66400.0
154,67746.0
155,68507.0
156,68100.0
157,67248.0
158,66044.0
159,65496.0
160,66191.0
161,69647.0
162,69425.0
163,67467.0
164,63605.0
165,60469.0
166,58348.0
167,54070.0
168,50460.0
169,48041.0
170,47074.0
171,47228.0
172,48253.0
173,51155.0
174,58605.0
175,65447.0
176,68569.0
177,68599.0
178,69484.0
179,70635.0
180,69962.0
181,69062.0
182,67835.0
183,67765.0
184,68183.0
185,70139.0
186,69246.0
187,67516.0
188,62992.0
189,59524.0
190,57518.0
191,53026.0
192,48517.0
193,46472.0
194,45546.0
195,45568.0
196,46950.0
197,50426.0
198,58351.0
199,65555.0
200,69326.0
201,69495.0
202,70357.0
203,70829.0
204,69565.0
205,68267.0
206,66887.0
207,66518.0
208,67566.0
209,70120.0
210,69465.0
211,66230.0
212,61923.0
213,58868.0
214,55441.0
215,51740.0
216,47944.0
217,45889.0
218,44455.0
219,43933.0
220,43836.0
221,43841.0
222,44671.0
223,48011.0
224,52333.0
225,55587.0
226,57068.0
227,58679.0
228,59031.0
229,57469.0
230,55753.0
231,54425.0
232,55698.0
233,59546.0
234,59665.0
235,57456.0
236,53439.0
237,51071.0
238,50351.0
239,47188.0
240,43422.0
241,41048.0
242,39718.0
243,39187.0
244,39643.0
245,39494.0
246,38786.0
247,40821.0
248,44081.0
249,47653.0
250,51246.0
251,54420.0
252,54436.0
253,52716.0
254,51569.0
255,51194.0
256,52466.0
257,57143.0
258,58328.0
259,56551.0
260,53601.0
261,51979.0
262,52143.0
263,48829.0
264,45904.0
265,44192.0
266,43720.0
267,44011.0
268,45401.0
269,49613.0
270,58225.0
271,66110.0
272,69474.0
273,69448.0
274,70736.0
275,72115.0
276,72023.0
277,71376.0
278,70197.0
279,69066.0
280,69524.0
281,71371.0
282,71236.0
283,69205.0
284,64685.0
285,61344.0
286,58672.0
287,54030.0
288,50153.0
289,48218.0
290,47184.0
291,47064.0
292,48760.0
293,51849.0
294,59116.0
295,66543.0
296,68723.0
297,68327.0
298,68374.0
299,68865.0
300,68469.0
301,67876.0
302,65875.0
303,65983.0
304,66634.0
305,70119.0
306,69850.0
307,67174.0
308,62622.0
309,59175.0
310,56499.0
311,51949.0
312,47556.0
313,45320.0
314,44513.0
315,45026.0
316,46695.0
317,50345.0
318,58474.0
319,65984.0
320,68576.0
321,67873.0
322,68878.0
323,69582.0
324,68658.0
325,68577.0
326,67760.0
327,67144.0
328,67198.0
329,70156.0
330,69595.0
331,67587.0
332,63598.0
333,60156.0
334,57358.0
335,53648.0
336,50014.0
337,48098.0
338,47108.0
339,47519.0
340,48517.0
341,51717.0
342,59216.0
343,65894.0
344,68785.0
345,68630.0
346,69475.0
347,70517.0
348,69712.0
349,69201.0
350,68197.0
351,67579.0
352,67480.0
353,70186.0
354,69592.0
355,67819.0
356,63806.0
357,60304.0
358,57580.0
359,53037.0
360,49276.0
361,46279.0
362,44534.0
363,45939.0
364,47898.0
365,51456.0
366,59074.0
367,66271.0
368,68400.0
369,68027.0
